name,email,dob,gender,contact,address,religion,community,minorityStatus,residentialStatus,admissionQuota,country,course,department,yearOfAdmission,Semester 1,Semester 2,Semester 3,Semester 4,Semester 5,Semester 6,Semester 7,Semester 8
Megan Porter,hawkinsgail@may-brown.com,2007-08-31,Female,9851449888,"3484 Vazquez Meadow Suite 907, Troytown, KS 14779",Christian,SC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Biotechnology,2022,A+,O,A,O,C,B,B+,C
Andrew West,watkinsmichelle@gray.com,2007-05-21,Male,4619811206,"739 Kim Vista, Adamsberg, IL 10296",Hindu,BC,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.E,Information Technology,2020,C,A+,A,A,A,C,,A+
Elizabeth Miller,morriseugene@yahoo.com,2000-02-05,Female,3168967418,"84275 Wilson Throughway Suite 208, Lake Ginaport, WA 41676",Hindu,MBC,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Biotechnology,2020,A,A+,B,O,A,A,B+,A+
Mr. Michael Williamson,hbuckley@hunter.com,2004-07-10,Male,4123686532,"1584 Gary Bridge Suite 603, Jonathanview, MS 54466",Christian,OBC,Non-Minority,Day Scholar,Government,International,B.Tech,Fashion Technology,2023,O,A+,C,A,,,A+,O
Heidi Buchanan,gordonaaron@hotmail.com,2004-11-27,Male,3901313071,"38547 Jonathan Village, New Nicole, KY 43879",Christian,OBC,Minority,Hosteller,Management,International,B.Tech,Information Technology,2024,A,O,B+,,O,A+,,B
Alan Alvarez,gamblesarah@gmail.com,2001-03-28,Female,7988909844,"263 Laura Gateway Apt. 562, North Jenniferside, NJ 62964",Sikh,SC,Non-Minority,Hosteller,7.5 Reservation,International,B.Tech,Biotechnology,2024,O,C,C,,B,C,,O
Jerry Hayes,marcus69@hotmail.com,2005-09-15,Male,4391144871,"7494 Paul Island Suite 006, West Jordantown, MD 19103",Sikh,OBC,Non-Minority,Day Scholar,7.5 Reservation,International,B.E,Information Science and Engineering,2024,C,C,,B,A+,A+,,
Kelli Boyd,sarahfisher@hoffman.info,2005-11-09,Male,7020554334,"220 Lewis Mission, Haynesville, NE 36833",Sikh,BC,Minority,Hosteller,Government,Domestic,B.Tech,Electrical Engineering,2022,B,C,B,,O,O,O,
Marvin Hensley,martin78@pugh.com,2003-05-07,Male,7533097311,"1638 Victor Islands, South Brandonton, WA 00846",Jain,MBC,Minority,Hosteller,Government,Domestic,B.E,Biotechnology,2022,,A,O,B+,O,B+,A,B+
Lauren Davenport,rogersbrianna@hotmail.com,2003-02-14,Male,5126857633,"9265 Roy Manors Apt. 576, Lake Angela, NJ 57801",Muslim,BC,Non-Minority,Hosteller,Management,Domestic,B.E,Computer Science,2024,A+,C,A,A+,,B+,C,C
Pamela Thompson,alexander31@gmail.com,2005-07-04,Female,9183224246,"USCGC Valdez, FPO AA 44365",Muslim,SC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Information Science and Engineering,2023,O,B,B+,B+,,,A+,O
Andrew Miller,joneschristopher@hotmail.com,2007-10-09,Female,2662881036,"412 Smith Crossroad Suite 935, East Colinfurt, ID 67805",Hindu,SC,Minority,Day Scholar,Government,Domestic,B.Tech,Computer Science,2022,,B+,A,B,A,B,A+,B+
Lonnie Tucker,johnsonkimberly@hanson.net,2000-06-11,Male,5968274866,"07452 Gregory Loaf, Jenniferstad, MA 07364",Jain,ST,Non-Minority,Day Scholar,Management,Domestic,B.Tech,Biotechnology,2021,A,O,C,A+,A+,A,B+,B+
Danny Hanson,jameswatkins@yahoo.com,2001-03-23,Male,8420146888,"8582 Rocha Lake Apt. 610, Matafurt, RI 02725",Muslim,MBC,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Electrical Engineering,2022,C,B+,B+,A+,A,B+,A+,B+
Brooke Hunt,smallmia@gmail.com,2001-01-25,Female,7945262624,"753 Tyler Summit Suite 139, Amberborough, HI 36599",Jain,OBC,Minority,Hosteller,Sports,Domestic,B.E,Artificial Intelligence,2020,A+,A,B,A,B,B,B,
Valerie Johnson,paulawilliams@hernandez.info,2000-11-01,Female,5628031349,"764 Michelle Skyway, Johnsonstad, MT 02642",Sikh,MBC,Minority,Hosteller,7.5 Reservation,International,B.E,Food Technology,2021,B+,A+,B,A,O,A+,C,A+
Martin Allen,xhoffman@hotmail.com,1999-12-20,Female,3154961160,"85794 Catherine Expressway Suite 148, West Michaelville, AZ 17658",Hindu,OBC,Non-Minority,Day Scholar,Sports,International,B.E,Fashion Technology,2021,O,O,C,A+,,C,C,
Howard Bartlett,jonathankelley@hughes.info,2003-04-29,Female,0423137857,"00447 Eric Crossing, Brownland, NJ 25914",Muslim,SC,Minority,Hosteller,Management,International,B.E,Electrical Engineering,2020,O,O,A,B,,A,B+,B
Brandon Gill,samanthamiller@yahoo.com,2008-04-13,Male,8042188703,"585 Roberson Trace Apt. 007, East Michaelfort, AZ 12288",Hindu,ST,Minority,Hosteller,Sports,International,B.E,Information Science and Engineering,2023,A,B+,C,A,,O,B+,O
David Knight,ilowe@crawford.com,2005-09-07,Female,8401643143,"PSC 0280, Box 8086, APO AE 43574",Christian,BC,Minority,Day Scholar,Management,International,B.Tech,Fashion Technology,2020,A+,B+,A,B+,A+,A,B+,A+
Ashley Smith,taylortaylor@yahoo.com,2003-10-03,Female,4623266183,"6526 Rice Run Suite 954, East Cameronton, MD 13313",Hindu,ST,Non-Minority,Hosteller,Government,International,B.Tech,Mechanical Engineering,2023,B+,C,O,B,O,B+,B+,A+
Martin Carlson,danielbarrett@hotmail.com,2001-06-27,Male,5424683968,"USCGC Navarro, FPO AE 53437",Muslim,ST,Minority,Day Scholar,Sports,International,B.E,AIML,2023,O,,,C,,B+,O,B+
Melanie Fields,gnguyen@yahoo.com,2002-11-14,Female,9651507033,"54583 Richard Port Apt. 449, Port Kathleenton, NM 59375",Jain,OBC,Minority,Day Scholar,Government,Domestic,B.E,Fashion Technology,2021,C,B,,A,A,O,B+,
Aaron Davidson,gregory24@powell.com,2004-10-08,Male,0222030197,"9534 Duncan Drive, Vazquezport, WA 07650",Christian,BC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Electrical Engineering,2022,C,B+,A,A,O,A,O,
Brendan Hayes,margaretgonzalez@morris-scott.com,2005-06-20,Male,9951443459,"6186 Wayne Wells Suite 111, New Samuel, ME 97749",Muslim,SC,Minority,Hosteller,Government,International,B.E,Information Technology,2020,A+,A,C,C,C,B,,A+
Lori Phillips,jamiedaniels@gmail.com,2000-09-30,Male,0643881209,"4358 Stephanie Forest Apt. 729, Contrerasmouth, LA 43375",Muslim,ST,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.Tech,AIML,2021,B+,A+,,A,O,B+,C,
Brenda Thompson,william90@bean-harmon.org,2002-04-13,Female,7718708885,"3510 Tina Parkways, Lake Deborahfurt, DC 30060",Muslim,SC,Minority,Day Scholar,7.5 Reservation,International,B.Tech,Electrical Engineering,2024,B,B+,C,C,,C,B+,A
Eric Knight,susan40@murillo.com,2003-01-31,Female,8781783175,"52209 Shaffer Drives Apt. 058, Jamesborough, NE 47031",Jain,SC,Non-Minority,Day Scholar,Management,Domestic,B.Tech,Mechanical Engineering,2021,A,A,O,,A,B+,C,B
Dr. Brad Frank,santossandra@davis.net,2003-09-24,Male,9750466765,"76881 Trevor Neck Apt. 893, Michaelbury, TN 80365",Hindu,BC,Minority,Hosteller,7.5 Reservation,International,B.Tech,Mechanical Engineering,2020,B+,B,A+,A+,A+,C,,B
Kathleen Flores,josephharris@gmail.com,2004-10-21,Male,8968823209,"4182 Nancy Stream, Lake Lisahaven, MT 63020",Sikh,ST,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Information Technology,2023,O,O,A+,O,A,B+,B+,A
Scott Taylor,jramirez@potter.org,2000-01-04,Male,5562004794,"4046 Cynthia Meadow Apt. 448, Codyton, NM 64987",Christian,ST,Non-Minority,Hosteller,Management,International,B.Tech,Electrical Engineering,2024,A,,O,O,A,A,,O
Desiree Glenn,alawson@yahoo.com,2000-05-20,Male,0389151053,"76768 Tiffany Harbors, Johnsonshire, IN 22013",Hindu,BC,Non-Minority,Day Scholar,7.5 Reservation,International,B.Tech,Information Technology,2021,B+,B,C,O,O,A,A+,
Kevin Williams,marywalker@gmail.com,2001-12-09,Female,3477432263,"09628 Melissa Parkways Suite 090, Lake Jocelyn, AL 24976",Jain,MBC,Non-Minority,Day Scholar,Sports,Domestic,B.Tech,Fashion Technology,2020,A+,,A,A+,B+,A+,,C
Carolyn Roberts,joshualewis@alvarez-page.biz,2005-05-20,Male,3300943687,"719 Christopher Harbors Suite 471, Moyerchester, TN 14974",Hindu,BC,Non-Minority,Hosteller,Management,Domestic,B.Tech,Electrical Engineering,2023,C,,A+,O,A,O,B,O
Ms. Gwendolyn Andersen,summersrobert@garner.com,2006-07-12,Male,2910587960,"904 Charles Radial, West George, FL 39813",Sikh,BC,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.E,Mechanical Engineering,2023,B,C,O,O,A,C,A,B
Timothy Parker,hardingjennifer@contreras.com,2004-12-01,Male,6495653914,"518 Susan Stream Apt. 275, Johnstonchester, SC 09985",Jain,MBC,Non-Minority,Day Scholar,Sports,Domestic,B.Tech,Computer Science,2022,O,A+,C,C,B,C,,B
Lori Lyons,juliestone@butler.biz,2001-03-11,Female,5407480775,"7383 Drew Squares Suite 125, Annchester, WV 71592",Sikh,MBC,Non-Minority,Day Scholar,Government,Domestic,B.Tech,Information Science and Engineering,2022,B+,A+,A+,O,,O,C,O
Angela Lambert,bellpatricia@scott.com,2003-09-09,Male,5582538646,"52128 Matthew Neck Apt. 349, New Sarahville, RI 43224",Jain,ST,Non-Minority,Day Scholar,Management,International,B.E,Electrical Engineering,2022,B+,A+,A,A+,B+,B+,B,O
Deborah Soto,mark17@hotmail.com,2001-09-13,Male,7551929933,"USS Nelson, FPO AA 69897",Muslim,OBC,Minority,Day Scholar,Government,Domestic,B.Tech,Information Technology,2021,A,A,B,A,C,A,B,A+
Eric Hull,smithbryan@ellis.net,2006-03-21,Female,3298053280,"48606 Sims Walk Suite 081, North Charlesstad, NE 85323",Christian,OBC,Non-Minority,Hosteller,Sports,Domestic,B.Tech,Electrical Engineering,2023,B+,O,,B+,B+,C,,C
Michael Cooper,natasha63@gmail.com,2006-10-27,Female,2294915156,"9875 Colin Forge Apt. 696, Collinsshire, NH 83133",Sikh,ST,Minority,Hosteller,Sports,Domestic,B.Tech,Artificial Intelligence,2021,B+,,A+,B,C,C,A+,C
Linda Lozano,mollystewart@silva-stevens.com,2001-01-20,Female,4263235581,"301 April Junctions Suite 610, East Cynthiamouth, CT 21681",Sikh,BC,Non-Minority,Hosteller,7.5 Reservation,International,B.Tech,Mechanical Engineering,2020,O,A+,A+,B,C,B+,A,B+
James Mcdaniel,jasonschwartz@yahoo.com,2003-09-29,Female,8587049463,"14645 Brenda Village Suite 975, Monicaland, PA 97418",Christian,OBC,Minority,Hosteller,Government,International,B.Tech,AIML,2022,B+,B+,,C,A+,B+,A+,A+
Brandy Aguilar,hwest@yahoo.com,2002-09-27,Female,9790009792,"77778 Daniel Camp Apt. 455, Lake Anthonychester, GA 32489",Jain,BC,Non-Minority,Day Scholar,Management,Domestic,B.Tech,Electrical Engineering,2023,A+,O,A+,O,,O,B+,O
Eric James,qabbott@sanders.com,2000-10-26,Male,0085614461,"5372 Conley Oval, Contrerasport, DE 80675",Sikh,SC,Non-Minority,Hosteller,Government,Domestic,B.E,Food Technology,2023,O,,C,A,B+,C,C,A+
Alyssa Cochran,heathermendoza@gmail.com,2003-09-01,Female,6129035309,"53183 Shannon Underpass, Port Harryborough, DC 14359",Christian,ST,Minority,Day Scholar,Sports,International,B.Tech,Food Technology,2020,B+,B,A+,A+,B+,O,A+,
Shelly Newman,courtneyaguirre@carpenter.com,2001-07-24,Female,6108683477,"39001 Joseph Harbor Apt. 134, Bryantchester, OK 87010",Hindu,BC,Minority,Day Scholar,Sports,Domestic,B.Tech,Biotechnology,2023,,A+,B+,,,C,A,A
Francisco Pope,crobertson@west.com,2006-10-09,Male,6029967362,"75848 Page Path, Seanview, NV 36792",Sikh,ST,Minority,Day Scholar,Management,International,B.Tech,Information Science and Engineering,2022,A+,,B+,B+,,O,B,A+
Jade Fisher,carolsilva@yahoo.com,2004-12-12,Male,6550351716,"63414 Teresa Stravenue, East Roberttown, OR 22624",Christian,MBC,Non-Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Fashion Technology,2021,B,A+,A,A+,B+,B,,
David Stafford,john87@yahoo.com,2001-12-29,Male,9641981265,"8753 Proctor Harbors Suite 899, Rodriguezstad, ID 33130",Sikh,SC,Non-Minority,Day Scholar,Management,International,B.Tech,Information Science and Engineering,2023,C,A,O,A+,A+,C,,C
Megan Frazier,desireelin@gmail.com,1999-09-29,Male,6096122935,"528 Lester Mountain, Weeksfort, RI 96227",Sikh,OBC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Information Science and Engineering,2024,C,C,,C,B+,A+,A,O
Dr. Carl Delgado,betty72@gilmore.com,2003-04-22,Male,0316459310,"86436 Megan Groves Suite 888, Lake Isaac, WA 31072",Christian,OBC,Minority,Hosteller,Sports,Domestic,B.E,Electrical Engineering,2022,A,,,B,O,A+,A,C
Scott Hernandez,vasquezdanielle@gmail.com,2004-02-18,Female,5673916416,"514 Carter Freeway Suite 293, Margaretfort, ME 13817",Muslim,MBC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Information Science and Engineering,2021,B,A,B+,B,,C,B+,B
Jacob Mcdonald,daniel28@hotmail.com,2000-02-21,Male,5939786487,"2578 Timothy Creek, Loweland, TX 88715",Jain,OBC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Fashion Technology,2024,O,,B+,C,A+,C,B,
Dominic White,meghanharris@gmail.com,2000-11-12,Female,6636139486,"71080 Thomas Light Apt. 223, Diazchester, RI 64481",Jain,SC,Minority,Hosteller,Government,Domestic,B.Tech,Information Technology,2022,A,,B,O,B,A,B+,B+
Courtney Cohen,calebcox@yahoo.com,2007-01-13,Male,1087887587,"53111 Eileen Pike Suite 431, Mooreview, WA 98832",Hindu,BC,Non-Minority,Day Scholar,Government,Domestic,B.E,Computer Science,2024,O,O,A+,A,,O,C,
Erin Jones,steven17@gaines.info,2007-07-18,Female,5239155188,"115 Spencer Station Suite 551, East Stephaniechester, IA 96330",Jain,BC,Non-Minority,Hosteller,Government,Domestic,B.Tech,Information Technology,2020,O,B,O,A,A+,B,O,A
Edward Edwards,zachary15@gmail.com,2000-07-27,Female,9618760775,"1667 Torres Shores Suite 497, West Douglas, AK 80092",Jain,OBC,Non-Minority,Day Scholar,Sports,Domestic,B.Tech,Artificial Intelligence,2023,A,B,A,O,O,B,,O
Patricia Zamora,william76@rice-stokes.com,2003-01-14,Female,5886281726,"5962 Eric Tunnel Suite 036, North Kenneth, MD 50336",Jain,MBC,Non-Minority,Hosteller,Government,Domestic,B.E,Artificial Intelligence,2020,,A+,A,C,,B+,B,B+
Yolanda Willis,catherinedominguez@gmail.com,2001-04-02,Male,2237041837,"5832 Franklin Walk Apt. 088, Kristinchester, GA 85904",Muslim,SC,Non-Minority,Hosteller,7.5 Reservation,International,B.E,Information Science and Engineering,2021,O,C,C,A+,A+,B,A,A+
Jeremy Edwards,qwatts@yahoo.com,1999-09-15,Male,2788640329,"20485 Theodore Bridge Apt. 165, Brookstown, ND 47285",Sikh,SC,Minority,Hosteller,Sports,Domestic,B.Tech,Mechanical Engineering,2022,A,,A,B,O,A,O,A+
Samuel Moore,farmerarthur@medina-perez.com,2006-04-24,Female,5566616416,"4555 Julia Club Apt. 116, Port Kathy, PA 10515",Muslim,BC,Non-Minority,Day Scholar,7.5 Reservation,Domestic,B.Tech,Electrical Engineering,2022,B,O,O,A,C,B,B,B+
Tiffany Oliver,amandamoore@gmail.com,1999-07-11,Male,5944855795,"2079 Patricia Well Apt. 323, South Noah, NV 34875",Sikh,MBC,Non-Minority,Day Scholar,Government,International,B.Tech,Information Technology,2023,B,O,,B+,C,A,B,B
Heather Perez,smithkevin@mcdonald.com,2000-10-25,Female,0274373012,"48203 Oconnor Ville Suite 169, Gardnerland, SC 89424",Sikh,MBC,Non-Minority,Day Scholar,Sports,Domestic,B.E,Mechanical Engineering,2021,A,O,O,B,B,A,B,O
Jacob Ballard,lauriemartinez@gmail.com,2003-10-06,Female,6379810836,"01495 Nelson Extensions Suite 400, Nicolebury, VA 34574",Sikh,ST,Minority,Day Scholar,7.5 Reservation,International,B.Tech,Information Technology,2023,B,C,O,B+,B,A,O,B+
Teresa Miller,kelseywalker@hotmail.com,1999-10-07,Female,2378328719,"972 Smith Falls, Karentown, OK 20337",Christian,MBC,Minority,Hosteller,Government,Domestic,B.Tech,Food Technology,2021,A,O,O,O,B,B+,B,C
Charles Garcia,brandi52@yahoo.com,2004-07-19,Female,7376866044,"98791 Rodriguez Circle, North Amandatown, SC 46676",Hindu,SC,Non-Minority,Hosteller,Government,International,B.Tech,Information Technology,2021,O,,A+,A+,B,B+,,
Dawn Bell,sandradixon@terrell.net,2006-08-03,Male,4985765505,"138 Kayla Bridge, Lake Alexander, HI 91065",Christian,ST,Minority,Hosteller,Government,Domestic,B.Tech,Biotechnology,2023,B+,,A+,A+,C,B,A+,A+
David Chapman,michaelbutler@ross.com,2000-04-30,Male,4276398611,"319 Williams Neck, New Eduardo, ID 32827",Sikh,MBC,Non-Minority,Hosteller,Sports,International,B.Tech,Artificial Intelligence,2023,B,,A,O,B,,A,
Christina Martinez,jacksonashley@hotmail.com,2003-10-06,Female,5301735036,"USS Lopez, FPO AP 63252",Christian,OBC,Non-Minority,Day Scholar,Management,Domestic,B.E,Fashion Technology,2021,O,A+,B+,A,,C,A+,B
Samantha Henry,qkim@gmail.com,2002-08-16,Male,9191878174,"Unit 2329 Box 6147, DPO AE 65310",Sikh,ST,Minority,Hosteller,Sports,International,B.E,Artificial Intelligence,2023,A+,B,,A+,A,O,C,B+
Melissa Thomas,richardwright@moore.info,2001-12-03,Male,2512581256,"13341 Terry Parkway Apt. 236, Port Charlesport, AL 52302",Hindu,SC,Non-Minority,Hosteller,Government,Domestic,B.E,Fashion Technology,2024,A,C,O,,,B+,C,A+
Shaun Williams,gravescarolyn@yahoo.com,1999-10-06,Male,0158974445,"Unit 8801 Box 0338, DPO AA 41909",Sikh,OBC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Electrical Engineering,2021,A,C,O,C,B,C,B,C
Stephanie Reese,herreramike@gmail.com,1999-08-15,Female,1531208739,"0512 Kaylee Plaza Apt. 366, Tonyview, IL 03420",Jain,ST,Non-Minority,Hosteller,Government,Domestic,B.Tech,Food Technology,2023,C,B+,A+,C,A+,B+,B+,B+
Victoria Jones,gainesrichard@morris-lee.com,2000-05-17,Female,1632310247,"5092 Tammy Street Suite 122, North Ericstad, MT 36292",Sikh,MBC,Non-Minority,Hosteller,Management,Domestic,B.E,AIML,2024,C,B,A,A,A,B,C,B+
Lori Marshall,millermolly@thomas.org,2007-04-11,Male,3121575019,"92543 Hicks Wells, Kimberlyport, TX 75207",Jain,BC,Non-Minority,Day Scholar,Management,International,B.E,Computer Science,2023,B,A+,A+,C,,C,,C
Isaiah Anderson,kaylakaufman@beck.net,2006-12-03,Female,8097285697,"132 Tara Oval, Paynemouth, OH 35914",Hindu,SC,Non-Minority,Hosteller,Management,Domestic,B.Tech,Fashion Technology,2023,B+,,A,A+,B,B+,,B
Stephanie Oliver,brycerobinson@brown.net,2003-08-08,Male,4973432269,"093 Baxter Path, New Ashley, FL 73692",Christian,BC,Minority,Day Scholar,Management,Domestic,B.Tech,Food Technology,2024,B,A,B,A,C,,B,O
Rebecca Willis,marymelton@yahoo.com,2003-08-30,Male,1813463661,"75174 Reed Throughway, Danaville, WA 02596",Jain,SC,Non-Minority,Day Scholar,Sports,International,B.Tech,Mechanical Engineering,2021,O,A+,C,B+,A,A,A,B
Mr. Jacob Moreno,ethanhall@gmail.com,2004-07-11,Female,7107515177,"36714 Hart Bridge, Chambersstad, PA 81214",Hindu,MBC,Minority,Hosteller,Government,International,B.E,Mechanical Engineering,2021,A+,,C,O,O,C,A+,C
Amber Nguyen,davidorozco@yahoo.com,2003-10-16,Male,8634491536,"8641 Kelly Garden, Tracyshire, LA 19986",Hindu,MBC,Minority,Hosteller,Management,Domestic,B.Tech,Information Technology,2021,A+,B,,,B,B+,B,A+
Larry Lynn,kevinsanchez@howe-chang.com,2000-05-19,Female,8915679288,"13463 Tara Rapid, Lake Kellyton, GA 70229",Jain,ST,Non-Minority,Day Scholar,Management,International,B.Tech,Computer Science,2024,,B+,O,A,O,B,,A+
Stephanie Williams,nelsonkaren@benitez-mills.com,2004-06-14,Female,6315203326,"8122 Leslie Road, Millerton, SC 19479",Jain,MBC,Minority,Hosteller,7.5 Reservation,International,B.E,Fashion Technology,2023,O,C,C,A+,O,A,O,B
Kaitlyn Rosario,daniel20@lawrence.com,1999-10-24,Female,9478132754,"660 Smith Unions, Lake Joshuachester, CA 61831",Christian,OBC,Minority,Day Scholar,Sports,Domestic,B.Tech,Mechanical Engineering,2023,B,C,A,,O,B,B,C
Madison Little,bryan57@yahoo.com,2006-03-07,Male,6574577865,"338 Cody Flat Apt. 410, Anthonychester, TX 72843",Muslim,SC,Minority,Day Scholar,Sports,International,B.Tech,Computer Science,2023,A+,C,A+,,O,C,C,A
Jaclyn Arroyo,wmelton@gmail.com,2001-11-11,Male,6723609084,"373 Troy Mews, Port Shawnstad, VA 68216",Hindu,ST,Non-Minority,Day Scholar,Government,Domestic,B.Tech,Fashion Technology,2021,A,,A+,A+,A+,A,A+,A
Lauren Stewart,oparker@lambert.biz,2002-04-16,Male,0807613603,"3851 Amy Forges Suite 328, East Jeremiah, WY 14683",Sikh,SC,Minority,Day Scholar,Management,Domestic,B.Tech,Information Science and Engineering,2022,O,B+,A+,,A,A+,,B+
Charles Brady,maryjohnson@tucker.com,2001-12-05,Male,6119167626,"7199 Sullivan Neck Apt. 518, Mayland, VT 09481",Hindu,OBC,Minority,Hosteller,Sports,Domestic,B.E,Electrical Engineering,2023,O,,B+,B,,,B+,
Nicholas Braun,scottchristopher@yahoo.com,2006-10-30,Male,1265723342,"3516 Perez Greens, New Teresa, OH 97783",Christian,ST,Minority,Day Scholar,Sports,Domestic,B.Tech,Artificial Intelligence,2023,C,A,C,,,C,C,A+
Mr. Steven Thomas,tyrone18@walker.com,1999-08-23,Female,5442520247,"PSC 7793, Box 9967, APO AP 68159",Jain,MBC,Minority,Day Scholar,Sports,Domestic,B.Tech,Artificial Intelligence,2023,O,B,A,B,O,C,O,B+
Nicholas Hernandez,petersonangela@yahoo.com,2006-12-03,Male,7815323447,"PSC 4389, Box 9108, APO AE 10122",Christian,BC,Non-Minority,Day Scholar,Sports,Domestic,B.Tech,AIML,2023,O,,B+,A,,A,A+,
Jesus Ruiz,jill07@hotmail.com,1999-12-07,Female,8673507424,"411 Hodge Locks Apt. 815, Chadmouth, MO 91066",Jain,OBC,Non-Minority,Hosteller,Sports,Domestic,B.Tech,Information Technology,2024,,,A,B+,O,B,A,C
Mr. Joseph Campbell DDS,kathleenvillanueva@hotmail.com,1999-11-03,Male,1905073935,"559 Hardy Plaza, Rodriguezville, IN 84988",Jain,BC,Non-Minority,Hosteller,Government,International,B.E,Mechanical Engineering,2020,B+,B+,B+,A+,B+,B,B+,B
Miss Melissa Castro,carly43@yahoo.com,2005-02-14,Female,9967883973,"1960 Lucas Crossing Suite 548, Tranbury, IL 84252",Christian,SC,Minority,Hosteller,Management,International,B.E,Fashion Technology,2023,,,C,A,O,O,C,C
Jonathan Carter,steven34@white.info,1999-09-29,Male,0643277738,"292 Walter Common Suite 031, New Zachary, CO 76915",Sikh,SC,Non-Minority,Day Scholar,Sports,International,B.Tech,Fashion Technology,2020,B,,B+,C,C,A,A,
Todd Martinez,estradaabigail@yahoo.com,2008-03-13,Male,9203264005,"2709 Nathan Village Apt. 422, Robinsonborough, TX 02430",Christian,SC,Minority,Hosteller,Sports,International,B.E,Artificial Intelligence,2021,,C,O,B+,C,A,O,O
Rebecca Lee,downsamanda@hotmail.com,2004-08-12,Female,8794675492,"37386 Brandon Rapids Apt. 577, Kimberlyfurt, UT 55330",Jain,ST,Minority,Day Scholar,Sports,Domestic,B.Tech,AIML,2022,A+,B+,A,A,B,,B+,B+
Bianca Jensen,xperez@yahoo.com,2001-08-11,Female,3996074506,"16473 Weaver Burgs Apt. 495, Sarahberg, MS 28028",Sikh,BC,Minority,Hosteller,Government,Domestic,B.E,Computer Science,2024,A+,B,,O,C,C,C,
John Callahan,mary04@palmer.net,2003-10-27,Female,6590564918,"0887 Nguyen Coves Suite 116, North Lindseytown, CT 19138",Hindu,OBC,Minority,Day Scholar,Management,International,B.Tech,Food Technology,2020,A+,,A+,C,A+,B,A,O
Christina Kline,aali@yahoo.com,2004-11-11,Female,8227044568,"121 Joshua Expressway, Crystalmouth, HI 69843",Jain,SC,Non-Minority,Day Scholar,7.5 Reservation,International,B.Tech,Computer Science,2024,A,B,,C,O,O,O,B+
Lisa Hubbard,erica88@hotmail.com,2001-03-30,Male,2776172393,"188 Baldwin Street, Stephensville, MT 76177",Sikh,OBC,Non-Minority,Hosteller,7.5 Reservation,International,B.Tech,Fashion Technology,2021,B,C,A+,A+,A,C,B+,
William Nelson,davidgonzalez@jordan.com,2002-06-18,Female,2373429613,"79627 Kathleen Run, Danaberg, HI 01180",Jain,SC,Non-Minority,Day Scholar,Government,Domestic,B.E,Information Technology,2024,,,,,C,B,O,B+
Steven Curtis,gregory13@burton.info,2004-08-04,Male,8051770216,"56761 Amy Forks, North John, IL 79940",Muslim,OBC,Minority,Hosteller,7.5 Reservation,Domestic,B.Tech,Electrical Engineering,2024,C,B,A,C,A+,A,A+,
Nicole Bailey PhD,dylanfowler@gmail.com,1999-09-13,Male,8962415000,"209 Rowland Courts Apt. 131, Mikaylahaven, ID 87408",Christian,MBC,Minority,Day Scholar,Sports,International,B.E,Fashion Technology,2020,A,B+,C,A,A+,B,B,C
Elizabeth Smith,barbararobinson@torres-bailey.com,2004-12-01,Female,7026821872,"52990 Cassandra Orchard Suite 173, Saundersbury, AR 39392",Hindu,OBC,Non-Minority,Hosteller,Government,International,B.Tech,Information Science and Engineering,2020,A+,B,B,O,A+,B+,C,A+
Natasha Martin,cmcdaniel@yahoo.com,1999-06-15,Male,1567855090,"364 Deborah Creek, West Charlesport, GA 69607",Jain,SC,Minority,Day Scholar,Government,International,B.E,Electrical Engineering,2020,B,,B,B+,A+,O,,B
Ronald Hughes,sean88@murphy-davis.com,2001-11-22,Female,9453962707,"40458 Foster Trace, Fostertown, ID 91608",Christian,ST,Non-Minority,Day Scholar,Sports,International,B.E,Food Technology,2024,A+,,B+,B+,O,O,O,
Stephanie Tran,lekevin@camacho.net,2007-04-13,Male,4553854899,"322 Tamara Spring, New Angelica, IA 15462",Christian,SC,Non-Minority,Day Scholar,Government,Domestic,B.Tech,Mechanical Engineering,2023,C,O,A+,,A+,B+,B+,O
Brenda Mann,wbeltran@washington-reyes.com,2005-02-05,Male,5552385815,"019 Gibson Lodge Suite 245, Guerrerofort, IN 91693",Jain,ST,Minority,Day Scholar,Sports,International,B.E,Electrical Engineering,2021,B+,A,O,B,,B,O,A
Thomas Hart,vickie89@mccarthy-knox.com,2004-09-17,Male,5205248715,"0518 Ethan Island, Lake James, AR 05873",Christian,OBC,Minority,Hosteller,Government,Domestic,B.E,Electrical Engineering,2024,C,O,,C,A,O,C,C
